"CPI value",Notes,US,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
,2018/03/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.33,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.25,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/04/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.33,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.25,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/05/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.33,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.25,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/06/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.33,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.25,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/07/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.89,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.75,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/08/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.89,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.75,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/09/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.89,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.75,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/10/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.89,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.75,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/11/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.89,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.75,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
,2018/12/01,2.13,9.84,2.13,2.63,7.5,11,7.18,6.3831999999999995,3.89,2.23,5.23,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,3.75,3.63,5,3.52,9.65,3.9250000000000003,2.13,8.3,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.15,2.13,10.75,2.83,3.89,2.13,4.425,2.13,2.13,2.13,2.13,5.25,11.5,2.33,2.625,2.13
255.69,2019/01/01,2.13,9.89,2.13,2.63,8,12,8.08,6.3831999999999995,3.89,2.23,5.440000000000001,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,4.35,3.63,5.5,3.5909999999999997,9.86,4.3,2.13,8.5,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.3,2.13,10.75,2.83,3.89,2.13,4.55,2.13,2.13,2.13,2.13,5.385,12,2.33,2.625,2.13
,2019/02/01,2.13,9.89,2.13,2.63,8,12,8.08,6.3831999999999995,3.89,2.23,5.440000000000001,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,4.35,3.63,5.5,3.5909999999999997,9.86,4.3,2.13,8.5,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.3,2.13,10.75,2.83,3.89,2.13,4.55,2.13,2.13,2.13,2.13,5.385,12,2.33,2.625,2.13
,2019/03/01,2.13,9.89,2.13,2.63,8,12,8.08,6.3831999999999995,3.89,2.23,5.440000000000001,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,4.35,3.63,5.5,3.5909999999999997,9.86,4.3,2.13,8.5,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.3,2.13,10.75,2.83,3.89,2.13,4.55,2.13,2.13,2.13,2.13,5.385,12,2.33,2.625,2.13
,2019/04/01,2.13,9.89,2.13,2.63,8,12,8.08,6.3831999999999995,3.89,2.23,5.440000000000001,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,4.35,3.63,5.5,3.5909999999999997,9.86,4.3,2.13,8.5,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.3,2.13,10.75,2.83,3.89,2.13,4.55,2.13,2.13,2.13,2.13,5.385,12,2.33,2.625,2.13
,2019/05/01,2.13,9.89,2.13,2.63,8,12,8.08,6.3831999999999995,3.89,2.23,5.440000000000001,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,4.35,3.63,5.5,3.5909999999999997,9.86,4.3,2.13,8.5,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.3,2.13,10.75,2.83,3.89,2.13,4.55,2.13,2.13,2.13,2.13,5.385,12,2.33,2.625,2.13
,2019/06/01,2.13,9.89,2.13,2.63,8,12,8.08,6.3831999999999995,3.89,2.23,5.440000000000001,2.13,9.35,4.35,3.35,4.95,2.13,2.13,2.13,2.13,4.35,3.63,5.5,3.5909999999999997,9.86,4.3,2.13,8.5,2.13,4.8575,2.13,3.2625,2.13,2.13,8.25,7.5,4.3,2.13,10.75,2.83,3.89,2.13,4.55,2.13,2.13,2.13,2.13,5.385,12,2.33,2.625,2.13
